India,Edu,Percentchange,,22.28,2.14,0.99,-100.00,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Italy,Edu,Percentchange,,2.26,-10.26,4.63,-1.33,-14.84,-4.15,-100.00,#DIV/0!
Japan,Edu,Percentchange,,8.12,2.12,-17.49,-7.84,-100.00,#DIV/0!,#DIV/0!,#DIV/0!
"Korea, Rep.",Edu,Percentchange,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mexico,Edu,Percentchange,,10.44,1.69,-2.36,15.55,-11.38,-13.64,-100.00,#DIV/0!
Russian Federation,Edu,Percentchange,,#DIV/0!,#DIV/0!,3.01,-4.38,-36.65,-8.14,-100.00,#DIV/0!
Saudi Arabia,Edu,Percentchange,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Turkey,Edu,Percentchange,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United States,Edu,Percentchange,,#DIV/0!,#DIV/0!,#DIV/0!,5.04,-100.00,#DIV/0!,#DIV/0!,#DIV/0!
South Africa,Edu,Percentchange,,15.61,1.70,-12.65,-3.81,-10.84,-6.94,21.62,5.98
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Military,PercentGDP,0.814878105,0.764287094,0.784824721,0.83773643,0.878100919,0.850128583,0.813140078,0.856137916,0.854560979
Australia,Military,PercentGDP,1.862399774,1.769389864,1.679917358,1.649533076,1.781294955,1.958451254,2.092849524,2.007966393,1.891559767
Brazil,Military,PercentGDP,1.539406981,1.411851159,1.378656465,1.329446109,1.330244423,1.365517154,1.350150573,1.419526638,1.474901547
Canada,Military,PercentGDP,1.197153652,1.196084458,1.121099973,1.004858419,0.99227056,1.150126497,1.15845888,1.293395107,1.252629232
China,Military,PercentGDP,1.907436663,1.834158275,1.83645176,1.866943786,1.905848105,1.907086486,1.924947124,1.896510407,1.865936601
Germany,Military,PercentGDP,1.35365069,1.281112196,1.311261447,1.223993716,1.182505896,1.177456492,1.189904265,1.234141102,1.233768757
France,Military,PercentGDP,2.33790694,2.257661284,2.236926011,2.220396951,2.230360063,2.26989054,2.327323645,2.349678514,2.293942799
United Kingdom,Military,PercentGDP,2.36792473,2.287394211,2.185441954,2.065024666,1.948806997,1.859612024,1.810780168,1.771093843,1.782205381
Indonesia,Military,PercentGDP,0.617587092,0.653776703,0.711549473,0.918769839,0.777855178,0.886971133,0.790694801,0.804336713,0.716442833
India,Military,PercentGDP,2.707464042,2.651496681,2.537346604,2.472726714,2.496769881,2.40512747,2.506470751,2.509624558,2.419034342
Italy,Military,PercentGDP,1.506820911,1.486135655,1.4367373,1.406128172,1.287382528,1.210619499,1.339605986,1.366528764,1.332702307
Japan,Military,PercentGDP,0.958851325,0.986806293,0.967427083,0.950865861,0.966999334,0.958050431,0.939582603,0.930768157,0.923839536
"Korea, Rep.",Military,PercentGDP,2.574250696,2.577345967,2.612982317,2.62798705,2.660766488,2.644758513,2.607881295,2.568843535,2.617343637
Mexico,Military,PercentGDP,0.557495865,0.548195294,0.581036958,0.614983409,0.659120391,0.661709561,0.559230191,0.502372223,0.538883866
Russian Federation,Military,PercentGDP,3.583859058,3.423447933,3.685968673,3.846232732,4.104182213,4.862758102,5.45240651,4.23340737,3.929511089
Saudi Arabia,Military,PercentGDP,8.565677426,7.230053324,7.676602968,8.976127733,10.6779063,13.32567233,9.87273833,10.25135635,8.774719127
Turkey,Military,PercentGDP,2.324125699,2.078543276,2.054760321,1.96325312,1.902457774,1.847055744,2.067542609,2.068141475,2.504356609
United States,Military,PercentGDP,4.657000923,4.576704253,4.227818074,3.811198676,3.480897196,3.271831264,3.207892169,3.109010405,3.16286488
South Africa,Military,PercentGDP,1.115808251,1.103257676,1.132793112,1.123274262,1.109437883,1.099182075,1.075529552,1.043663396,0.981709721
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
